"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"Ultimate Investment Banking Course","ultimate-investment-banking-course","True",200,2147,23,51,"All Levels",1.5,"2017-01-18","Business Finance"
"Complete GST Course & Certification - Grow Your CA Practice","goods-and-services-tax","True",75,2792,923,274,"All Levels",39,"2017-03-09","Business Finance"
"Financial Modeling for Business Analysts and Consultants","financial-modeling-for-business-analysts-and-consultants","True",45,2174,74,51,"Intermediate Level",2.5,"2016-12-19","Business Finance"
"Beginner to Pro - Financial Analysis in Excel 2017","complete-excel-finance-course-from-beginner-to-pro","True",95,2451,11,36,"All Levels",3,"2017-05-30","Business Finance"
"How To Maximize Your Profits Trading Options","how-to-maximize-your-profits-trading-options","True",200,1276,45,26,"Intermediate Level",2,"2016-12-13","Business Finance"
"Trading Penny Stocks: A Guide for All Levels In 2017","trading-penny-stocks-a-guide-for-all-levels","True",150,9221,138,25,"All Levels",3,"2014-05-02","Business Finance"
"Investing And Trading For Beginners: Mastering Price Charts","investing-and-trading-for-beginners-mastering-price-charts","True",65,1540,178,26,"Beginner Level",1,"2016-02-21","Business Finance"
"Trading Stock Chart Patterns For Immediate Explosive Gains","trading-chart-patterns-for-immediate-explosive-gains","True",95,2917,148,23,"All Levels",2.5,"2015-01-30","Business Finance"
"Options Trading 3 : Advanced Stock Profit and Success Method","day-trading-stock-options-3","True",195,5172,34,38,"Expert Level",2.5,"2015-05-28","Business Finance"
"The Only Investment Strategy You Need For Your Retirement","the-only-investment-strategy-you-need-for-your-retirement","True",200,827,14,15,"All Levels",1,"2017-04-18","Business Finance"
"Forex Trading Secrets of the Pros With Amazon's AWS","trading-with-amazons-aws-servers-trade-secrets-of-the-pros","True",200,4284,93,76,"All Levels",5,"2015-09-11","Business Finance"
"Trading Options With Money Flow","trading-options-using-money-flow","True",200,1380,42,17,"All Levels",1,"2016-10-18","Business Finance"
"Financial Management Risk and Return For Securities","risk-and-return-finance","True",30,3607,21,19,"All Levels",1.5,"2016-02-03","Business Finance"
"Forex Trading Course: Work Smarter Not Harder Proven Results","the-complete-trading-course","True",195,4061,52,16,"All Levels",2,"2016-03-16","Business Finance"
"Python Algo Trading: Sentiment Trading with News","hedge-fund-strategy-trading-with-sentiment-analysis","True",200,294,19,42,"All Levels",7,"2017-04-28","Business Finance"
"Short Selling: Learn To Sell Stocks Before The Fall","short-selling-learn-to-sell-before-the-fall","True",75,2276,106,19,"Intermediate Level",1.5,"2015-06-22","Business Finance"
"Basic Technical Analysis: Learn the structure of the market","learn-basic-technical-analysis","True",20,4919,79,16,"Beginner Level",1.5,"2016-01-08","Business Finance"
"The Complete Chart Pattern Trading Course: A Proven Approach","make-money-trading-stocks-from-home","True",200,2666,115,52,"All Levels",4,"2015-08-10","Business Finance"
